Student Name,RegID,Semester Number,Subject,Faculty Name,Rating_Faculty,Preferred Faculty,Rating_Preferred_Faculty
Student1,22BAI0001,8,Digital Systems Design (Theory Only),Dr. Manisha Kumar,1,Prof. Rahul Kapoor,5
Student2,22BAI0002,1,Structured and Object-Oriented Programming (Theory Only),Dr. Tanvi Desai,4,Prof. Tanvi Kapoor,5
Student3,22BAI0003,2,Physics (Theory),Prof. Arjun Verma,2,Dr. Akash Kumar,5
Student4,22BAI0004,1,Technical English Communication (Theory Only),Prof. Manoj Kumar,3,Prof. Rishi Patel,5
Student5,22BAI0005,2,Differential Equations and Transforms (Theory),Prof. Varsha Mehta,5,Dr. Sumit Sharma,5
Student6,22BAI0006,2,Structured and Object-Oriented Programming (Theory Only),Prof. Pankaj Patel,5,Prof. Preeti Khanna,5
Student7,22BAI0007,8,Digital Systems Design (Theory Only),Prof. Abhinav Gupta,2,Prof. Priya Sharma,5
Student8,22BAI0008,5,Technical English Communication (Theory Only),Dr. Rakesh Kumar,5,Dr. Anjali Kapoor,5
Student9,22BAI0009,3,Physics (Theory),Dr. Rahul Verma,3,Dr. Anjali Singh,5
Student10,22BAI0010,1,Differential Equations and Transforms (Theory),Dr. Rakesh Deshmukh,5,Prof. Kavita Singh,5
Student11,22BAI0011,1,Technical English Communication (Theory Only),Dr. Akshay Patel,3,Dr. Shweta Sharma,5
Student12,22BAI0012,5,Structured and Object-Oriented Programming (Theory Only),Dr. Sneha Patel,1,Dr. Alok Kumar,5
Student13,22BAI0013,1,Digital Systems Design (Theory Only),Dr. Komal Patel,1,Prof. Meera Sharma,5
Student14,22BAI0014,1,Differential Equations and Transforms (Theory),Dr. Aarti Deshmukh,4,Prof. Shruti Singh,5
Student15,22BAI0015,6,Physics (Theory),Prof. Sameer Sharma,2,Dr. Aditi Sharma,5
Student16,22BAI0016,8,Technical English Communication (Theory Only),Dr. Deepak Sharma,3,Prof. Vivek Verma,5
Student17,22BAI0017,2,Differential Equations and Transforms (Theory),Prof. Sangeeta Verma,5,Prof. Shraddha Singh,5
Student18,22BAI0018,5,Physics (Theory),Prof. Ritu Khanna,5,Prof. Vivek Patel,5
Student19,22BAI0019,1,Digital Systems Design (Theory Only),Dr. Arvind Deshmukh,2,Dr. Sneha Singh,5
Student20,22BAI0020,7,Structured and Object-Oriented Programming (Theory Only),Prof. Ankit Patel,5,Dr. Radhika Sharma,5
Student21,22BAI0021,3,Structured and Object-Oriented Programming (Theory Only),Dr. Megha Sharma,3,Dr. Akshay Verma,5
Student22,22BAI0022,1,Differential Equations and Transforms (Theory),Prof. Vinita Verma,5,Dr. Pradeep Sharma,5
Student23,22BAI0023,7,Digital Systems Design (Theory Only),Dr. Rohit Kapoor,3,Prof. Raghav Kapoor,5
